,Study ID,Participant ID,Native,Designer,Test ID,Test type,Trial ID,Font,Sample,Category,Response,Correct,Seen,Foil,Response time,JoM,JoL,Date
0,Pilot,0,yes,Non-designer,1,lexical,1,sansforgetica,neeld,non-word,Sure word,0,,,2744,56,very easy to read,25-03-2019 19:37
1,Pilot,0,yes,Non-designer,1,lexical,2,sansforgetica,inverstand,non-word,Sure word,0,,,841,56,very easy to read,25-03-2019 19:37
2,Pilot,0,yes,Non-designer,1,lexical,3,sansforgetica,sovess,non-word,Sure word,0,,,527,56,very easy to read,25-03-2019 19:37
3,Pilot,0,yes,Non-designer,1,lexical,4,sansforgetica,guilty,word,Sure word,1,,,536,56,very easy to read,25-03-2019 19:37
4,Pilot,0,yes,Non-designer,1,lexical,5,sansforgetica,actions,word,Sure word,1,,,511,56,very easy to read,25-03-2019 19:37
5,Pilot,0,yes,Non-designer,1,lexical,6,sansforgetica,earth,word,Sure word,1,,,481,56,very easy to read,25-03-2019 19:37
6,Pilot,0,yes,Non-designer,1,lexical,7,sansforgetica,partnestion,non-word,Sure word,0,,,504,56,very easy to read,25-03-2019 19:37
7,Pilot,0,yes,Non-designer,1,lexical,8,sansforgetica,surcenters,non-word,Sure word,0,,,512,56,very easy to read,25-03-2019 19:37
8,Pilot,0,yes,Non-designer,1,lexical,9,sansforgetica,status,word,Sure word,1,,,496,56,very easy to read,25-03-2019 19:37
9,Pilot,0,yes,Non-designer,1,lexical,10,sansforgetica,miney,non-word,Sure word,0,,,489,56,very easy to read,25-03-2019 19:37
10,Pilot,0,yes,Non-designer,1,lexical,11,sansforgetica,calculgical,non-word,Sure word,0,,,327,56,very easy to read,25-03-2019 19:37
11,Pilot,0,yes,Non-designer,1,lexical,12,sansforgetica,women,word,Sure word,1,,,554,56,very easy to read,25-03-2019 19:37
12,Pilot,0,yes,Non-designer,1,lexical,13,sansforgetica,parent,word,Sure word,1,,,589,56,very easy to read,25-03-2019 19:37
13,Pilot,0,yes,Non-designer,1,lexical,14,sansforgetica,stock,word,Sure word,1,,,522,56,very easy to read,25-03-2019 19:37
14,Pilot,0,yes,Non-designer,1,lexical,15,sansforgetica,authorities,word,Sure word,1,,,471,56,very easy to read,25-03-2019 19:37
15,Pilot,0,yes,Non-designer,1,lexical,16,sansforgetica,cerving,non-word,Sure word,0,,,520,56,very easy to read,25-03-2019 19:37
16,Pilot,0,yes,Non-designer,1,lexical,17,sansforgetica,enreloping,non-word,Sure word,0,,,1345,56,very easy to read,25-03-2019 19:37
17,Pilot,0,yes,Non-designer,1,lexical,18,sansforgetica,meaning,word,Sure word,1,,,535,56,very easy to read,25-03-2019 19:37
18,Pilot,0,yes,Non-designer,1,lexical,19,sansforgetica,minute,word,Sure word,1,,,463,56,very easy to read,25-03-2019 19:37
19,Pilot,0,yes,Non-designer,1,lexical,20,sansforgetica,sprairen,non-word,Sure word,0,,,378,56,very easy to read,25-03-2019 19:37
20,Pilot,0,yes,Non-designer,1,recognition,1,sansforgetica,easier,word,Sure seen,0,non-seen,earth,3431,56,very easy to read,25-03-2019 19:37
21,Pilot,0,yes,Non-designer,1,recognition,2,sansforgetica,miney,non-word,Sure seen,1,seen,miney,618,56,very easy to read,25-03-2019 19:37
22,Pilot,0,yes,Non-designer,1,recognition,3,sansforgetica,enreloping,non-word,Sure seen,1,seen,enreloping,567,56,very easy to read,25-03-2019 19:37
23,Pilot,0,yes,Non-designer,1,recognition,4,sansforgetica,available,word,Sure seen,0,non-seen,authorities,566,56,very easy to read,25-03-2019 19:37
24,Pilot,0,yes,Non-designer,1,recognition,5,sansforgetica,minute,word,Sure seen,1,seen,minute,536,56,very easy to read,25-03-2019 19:37
25,Pilot,0,yes,Non-designer,1,recognition,6,sansforgetica,active,word,Sure seen,0,non-seen,actions,536,56,very easy to read,25-03-2019 19:37
26,Pilot,0,yes,Non-designer,1,recognition,7,sansforgetica,invironable,non-word,Sure seen,0,non-seen,inverstand,594,56,very easy to read,25-03-2019 19:37
27,Pilot,0,yes,Non-designer,1,recognition,8,sansforgetica,parent,word,Sure seen,1,seen,parent,534,56,very easy to read,25-03-2019 19:37
28,Pilot,0,yes,Non-designer,1,recognition,9,sansforgetica,surcenters,non-word,Sure seen,1,seen,surcenters,561,56,very easy to read,25-03-2019 19:37
29,Pilot,0,yes,Non-designer,1,recognition,10,sansforgetica,means,word,Sure seen,0,non-seen,meaning,527,56,very easy to read,25-03-2019 19:37
30,Pilot,0,yes,Non-designer,1,recognition,11,sansforgetica,sprikelf,non-word,Sure seen,0,non-seen,sprairen,513,56,very easy to read,25-03-2019 19:37
31,Pilot,0,yes,Non-designer,1,recognition,12,sansforgetica,chaminue,non-word,Sure seen,0,non-seen,cerving,527,56,very easy to read,25-03-2019 19:37
32,Pilot,0,yes,Non-designer,1,recognition,13,sansforgetica,status,word,Sure seen,1,seen,status,561,56,very easy to read,25-03-2019 19:37
33,Pilot,0,yes,Non-designer,1,recognition,14,sansforgetica,partnestion,non-word,Sure seen,1,seen,partnestion,567,56,very easy to read,25-03-2019 19:37
34,Pilot,0,yes,Non-designer,1,recognition,15,sansforgetica,guilty,word,Sure seen,1,seen,guilty,553,56,very easy to read,25-03-2019 19:37
35,Pilot,0,yes,Non-designer,1,recognition,16,sansforgetica,sovies,non-word,Sure seen,0,non-seen,sovess,584,56,very easy to read,25-03-2019 19:37
36,Pilot,0,yes,Non-designer,2,lexical,1,inputsans,pattern,word,Sure word,1,,,1902,54,easy to read,25-03-2019 19:37
37,Pilot,0,yes,Non-designer,2,lexical,2,inputsans,vally,non-word,Sure word,0,,,826,54,easy to read,25-03-2019 19:37
38,Pilot,0,yes,Non-designer,2,lexical,3,inputsans,either,word,Sure word,1,,,528,54,easy to read,25-03-2019 19:37
39,Pilot,0,yes,Non-designer,2,lexical,4,inputsans,escape,word,Sure word,1,,,375,54,easy to read,25-03-2019 19:37
40,Pilot,0,yes,Non-designer,2,lexical,5,inputsans,masuld,non-word,Sure word,0,,,383,54,easy to read,25-03-2019 19:37
41,Pilot,0,yes,Non-designer,2,lexical,6,inputsans,physical,word,Sure word,1,,,657,54,easy to read,25-03-2019 19:37
42,Pilot,0,yes,Non-designer,2,lexical,7,inputsans,sountion,non-word,Sure word,0,,,603,54,easy to read,25-03-2019 19:37
43,Pilot,0,yes,Non-designer,2,lexical,8,inputsans,start,word,Sure word,1,,,501,54,easy to read,25-03-2019 19:37
44,Pilot,0,yes,Non-designer,2,lexical,9,inputsans,cittes,non-word,Sure word,0,,,511,54,easy to read,25-03-2019 19:37
