,StudyID,ParticipantID,TestID,Type,Order,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date,AUCnorm,Correctnorm,AUCnorm_word,AUCnorm_nonword
0,1,122,1,lexical,1,arial,False,Non-designer,False,arial,0.7,5509.4375,8.530337714873001,5005.975,6012.9,8.518387477972059,8.70166244026765,0.875,,,75.0,1,30-04-2019 19:06,2.4188584057763776,1.9823131728623846,,
1,1,122,1,recognition,2,arial,False,Non-designer,False,arial,0.875,3313.712890625,8.037089600601467,3037.30078125,3590.125,8.018724499078168,8.185942299817663,0.90625,1.0,0.8125,75.0,1,30-04-2019 19:06,2.519224165034773,2.4188584057763776,3.141592653589793,2.245927859731928
2,1,122,2,lexical,1,arial,False,Non-designer,False,sansforgetica,0.75,3851.9,8.149964466085741,3658.5,4045.3,8.204808506324085,8.305310992379045,0.95,,,25.0,7,30-04-2019 19:06,2.6905658417935303,2.0943951023931953,,
3,1,122,2,recognition,2,arial,False,Non-designer,False,sansforgetica,0.9375,2555.8125,7.764000140190753,2561.125,2550.5,7.848201894067363,7.844044697362981,1.0,1.0,1.0,25.0,7,30-04-2019 19:06,3.141592653589793,2.6362321433056364,3.141592653589793,3.141592653589793
4,1,123,1,lexical,1,arial,True,Graphic designer,True,arial,0.85,2454.2,7.624803656341645,1279.7,3628.7,7.154380954443551,8.196629736394444,0.95,,,100.0,60,30-04-2019 19:03,2.6905658417935303,2.34619382340565,,
5,1,123,1,recognition,2,arial,True,Graphic designer,True,arial,1.0,1894.125,7.448375792566879,1655.375,2132.875,7.411782848247128,7.665226113847429,1.0,1.0,1.0,100.0,60,30-04-2019 19:03,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
6,1,123,2,lexical,1,arial,True,Graphic designer,True,sansforgetica,0.95,2901.9,7.73998645424326,1249.6,4554.2,7.130578779085422,8.423805163094565,1.0,,,50.0,100,30-04-2019 19:03,3.141592653589793,2.6905658417935303,,
7,1,123,2,recognition,2,arial,True,Graphic designer,True,sansforgetica,0.8125,1530.39453125,7.275154608049725,1161.75,1899.0390625,7.057682767965088,7.5491032806375875,0.8515625,0.875,0.8125,50.0,100,30-04-2019 19:03,2.35057913777521,2.245927859731928,2.4188584057763776,2.245927859731928
8,1,124,1,lexical,1,arial,False,Graphic designer,True,arial,0.9,2393.2,7.739531575028683,1823.9,2962.5,7.508732344569952,7.993788785443386,1.0,,,50.0,22,30-04-2019 19:02,3.141592653589793,2.498091544796509,,
9,1,124,1,recognition,2,arial,False,Graphic designer,True,arial,0.9375,2166.47265625,7.637493364264514,1880.5703125,2452.375,7.539330367533114,7.804812221740993,0.9296875,1.0,0.875,50.0,22,30-04-2019 19:02,2.604842476361082,2.6362321433056364,3.141592653589793,2.4188584057763776
10,1,124,2,lexical,1,arial,False,Graphic designer,True,sansforgetica,1.0,2274.55,7.676063341834995,2206.1,2343.0,7.698981529701717,7.759187438507795,1.0,,,25.0,20,30-04-2019 19:02,3.141592653589793,3.141592653589793,,
11,1,124,2,recognition,2,arial,False,Graphic designer,True,sansforgetica,0.9375,2076.25,7.585567610215448,2033.375,2119.125,7.6174522530866176,7.658758546618117,0.9921875,1.0,1.0,25.0,20,30-04-2019 19:02,2.964584967301763,2.6362321433056364,3.141592653589793,3.141592653589793
12,1,125,1,lexical,1,arial,False,Graphic designer,True,arial,0.9,2254.5375,7.664907281599538,1875.5,2633.575,7.536630569521942,7.876097517728096,0.9500000000000001,,,75.0,50,30-04-2019 19:02,2.690565841793531,2.498091544796509,,
13,1,125,1,recognition,2,arial,False,Graphic designer,True,arial,0.8125,1567.669921875,7.283730217983372,1314.625,1820.71484375,7.181306732840192,7.506984474247598,0.8671875,0.875,0.875,75.0,50,30-04-2019 19:02,2.3955417299803723,2.245927859731928,2.4188584057763776,2.4188584057763776
14,1,125,2,lexical,1,arial,False,Graphic designer,True,sansforgetica,0.75,2310.6875,7.681626260882891,2026.2,2595.175,7.613917396619577,7.8614092307057675,0.95,,,25.0,50,30-04-2019 19:02,2.6905658417935303,2.0943951023931953,,
15,1,125,2,recognition,2,arial,False,Graphic designer,True,sansforgetica,0.8125,2515.75,7.762588582781127,2188.625,2842.875,7.691028771746481,7.952571143044578,0.8828125,0.9375,0.84375,25.0,50,30-04-2019 19:02,2.442808668622055,2.245927859731928,2.6362321433056364,2.3288370922211326
16,1,126,1,lexical,1,arial,True,Graphic designer,True,arial,0.85,2811.14875,7.793219539363662,1527.2,4095.0975,7.331191272411538,8.317545805527537,0.9500000000000001,,,75.0,70,30-04-2019 18:49,2.690565841793531,2.34619382340565,,
17,1,126,1,recognition,2,arial,True,Graphic designer,True,arial,0.875,3267.87890625,7.986304066178483,3366.875,3168.8828125,8.121740293434799,8.06113437967615,0.9140625,0.8125,1.0,75.0,70,30-04-2019 18:49,2.5465507307622497,2.4188584057763776,2.245927859731928,3.141592653589793
18,1,126,2,lexical,1,arial,True,Graphic designer,True,sansforgetica,0.85,2839.6,7.834623190391485,1658.3,4020.9,7.413548260220053,8.299261037152561,1.0,,,25.0,65,30-04-2019 18:49,3.141592653589793,2.34619382340565,,
19,1,126,2,recognition,2,arial,True,Graphic designer,True,sansforgetica,0.8125,2556.75,7.786000020614417,2881.5,2232.0,7.966066270876721,7.710653323501202,0.8984375,0.90625,0.875,25.0,65,30-04-2019 18:49,2.4929011482619425,2.245927859731928,2.519224165034773,2.4188584057763776
20,1,127,1,lexical,1,arial,True,Other designer,True,arial,0.95,3454.9175000000005,8.028939251090419,2069.5,4840.335,7.635062311188787,8.48473921219147,1.0,,,100.0,79,29-04-2019 10:07,3.141592653589793,2.6905658417935303,,
21,1,127,1,recognition,2,arial,True,Other designer,True,arial,1.0,2417.3359375,7.745517800024622,2159.75,2674.921875,7.677747753238994,7.891675453296139,1.0,1.0,1.0,100.0,79,29-04-2019 10:07,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
22,1,127,2,lexical,1,arial,True,Other designer,True,sansforgetica,0.95,3425.0675,7.997011174757705,1866.1,4984.035,7.531605970539426,8.513995082914542,1.0,,,25.0,76,29-04-2019 10:07,3.141592653589793,2.6905658417935303,,
23,1,127,2,recognition,2,arial,True,Other designer,True,sansforgetica,0.9375,2190.75,7.640529647568153,1784.625,2596.875,7.486963588109385,7.862064078043813,0.9375,0.875,1.0,25.0,76,29-04-2019 10:07,2.6362321433056364,2.6362321433056364,2.4188584057763776,3.141592653589793
24,1,128,1,lexical,1,arial,False,Other designer,True,arial,0.9,2722.725,7.800052805348838,1712.4,3733.05,7.445651174270791,8.224980872877925,0.9500000000000001,,,100.0,15,29-04-2019 08:52,2.690565841793531,2.498091544796509,,
25,1,128,1,recognition,2,arial,False,Other designer,True,arial,0.9375,1883.62890625,7.506714087859486,1927.0078125,1840.25,7.56372372263552,7.517656710938815,0.9375,1.0,0.875,100.0,15,29-04-2019 08:52,2.6362321433056364,2.6362321433056364,3.141592653589793,2.4188584057763776
26,1,128,2,lexical,1,arial,False,Other designer,True,sansforgetica,0.95,2639.8,7.811653016579278,2252.4,3027.2,7.7197515933804635,8.015393378857558,0.9500000000000001,,,0.0,15,29-04-2019 08:52,2.690565841793531,2.6905658417935303,,
27,1,128,2,recognition,2,arial,False,Other designer,True,sansforgetica,1.0,1839.0625,7.45885113911047,1759.875,1918.25,7.4729980627826915,7.559168591057775,1.0,1.0,1.0,0.0,15,29-04-2019 08:52,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
28,1,129,1,lexical,1,arial,True,Letter designer,True,arial,1.0,1981.09125,7.545539065939326,1758.9,2203.2825000000003,7.472443892638279,7.697703572807093,1.0,,,75.0,59,29-04-2019 04:08,3.141592653589793,3.141592653589793,,
29,1,129,1,recognition,2,arial,True,Letter designer,True,arial,0.875,1833.35546875,7.470500198142075,1929.91796875,1736.79296875,7.565232777757301,7.45979557016229,0.921875,0.8125,1.0,75.0,59,29-04-2019 04:08,2.575028322968715,2.4188584057763776,2.245927859731928,3.141592653589793
30,1,129,2,lexical,1,arial,True,Letter designer,True,sansforgetica,1.0,1926.59125,7.545074833049585,1685.4,2167.7825000000003,7.429758203338253,7.681460034648632,1.0,,,25.0,50,29-04-2019 04:08,3.141592653589793,3.141592653589793,,
31,1,129,2,recognition,2,arial,True,Letter designer,True,sansforgetica,0.625,1704.4375,7.383788018296277,1463.625,1945.25,7.288671514168889,7.57314578249704,0.671875,0.75,0.59375,25.0,50,29-04-2019 04:08,1.9217036703859776,1.8234765819369754,2.0943951023931953,1.7594127129703006
