,StudyID,ParticipantID,TestID,Type,TaskID,Order,Ordertype,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date,AUCnorm,Correctnorm,AUCnorm_word,AUCnorm_nonword
0,1,0,1,lexical,1,1.0,,arial,False,Non-designer,False,arial,0.7,5509.4375,8.530337714873,,,,,0.875,,,75.0,1,30-04-2019 19:06,2.4188584057763776,1.9823131728623846,,
1,1,0,1,recognition,2,2.0,,arial,False,Non-designer,False,arial,0.875,3313.712890625,8.037089600601467,,3590.125,,8.185942299817663,0.90625,1.0,0.8125,75.0,1,30-04-2019 19:06,2.519224165034773,2.4188584057763776,3.141592653589793,2.245927859731928
2,1,0,2,lexical,3,1.0,,arial,False,Non-designer,False,sansforgetica,0.75,3851.9,8.149964466085741,,,,,0.95,,,25.0,7,30-04-2019 19:06,2.6905658417935303,2.0943951023931953,,
3,1,0,2,recognition,4,2.0,,arial,False,Non-designer,False,sansforgetica,0.9375,2555.8125,7.764000140190753,,2550.5,,7.844044697362981,1.0,1.0,1.0,25.0,7,30-04-2019 19:06,3.141592653589793,2.6362321433056364,3.141592653589793,3.141592653589793
4,1,1,1,lexical,1,1.0,,arial,True,Graphic designer,True,arial,0.85,2454.2,7.624803656341645,,,,,0.95,,,100.0,60,30-04-2019 19:03,2.6905658417935303,2.34619382340565,,
5,1,1,1,recognition,2,2.0,,arial,True,Graphic designer,True,arial,1.0,1894.125,7.448375792566879,,2132.875,,7.665226113847429,1.0,1.0,1.0,100.0,60,30-04-2019 19:03,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
6,1,1,2,lexical,3,1.0,,arial,True,Graphic designer,True,sansforgetica,0.95,2901.9,7.73998645424326,,,,,1.0,,,50.0,100,30-04-2019 19:03,3.141592653589793,2.6905658417935303,,
7,1,1,2,recognition,4,2.0,,arial,True,Graphic designer,True,sansforgetica,0.8125,1530.39453125,7.275154608049725,,1899.0390625,,7.5491032806375875,0.8515625,0.875,0.8125,50.0,100,30-04-2019 19:03,2.35057913777521,2.245927859731928,2.4188584057763776,2.245927859731928
8,1,2,1,lexical,1,1.0,,arial,False,Graphic designer,True,arial,0.9,2393.2,7.739531575028683,,,,,1.0,,,50.0,22,30-04-2019 19:02,3.141592653589793,2.498091544796509,,
9,1,2,1,recognition,2,2.0,,arial,False,Graphic designer,True,arial,0.9375,2166.47265625,7.637493364264515,,2452.375,,7.804812221740993,0.9296875,1.0,0.875,50.0,22,30-04-2019 19:02,2.604842476361082,2.6362321433056364,3.141592653589793,2.4188584057763776
