,StudyID,ParticipantID,Fluent,Training,TestID,Type,TrialID,Font,Sample,Category,Response,Correct,Seen,Foil,RT,RTnorm,JoM,JoL,Date
0,1,0,True,Letter designer,1,lexical,1,arial,necressor,non-word,Probably non-word,1.0,,,5461.0,8.605387202152151,34,very easy to read,05-04-2019 12:16
1,1,0,True,Letter designer,1,lexical,2,arial,thouratute,non-word,Sure non-word,1.0,,,2706.0,7.903226808730732,34,very easy to read,05-04-2019 12:16
2,1,0,True,Letter designer,1,lexical,3,arial,refectuning,non-word,Sure non-word,1.0,,,1987.0,7.594381242551818,34,very easy to read,05-04-2019 12:16
3,1,0,True,Letter designer,1,lexical,4,arial,separate,word,Sure word,1.0,,,1368.0,7.221105098182496,34,very easy to read,05-04-2019 12:16
4,1,0,True,Letter designer,1,lexical,5,arial,studies,word,Sure word,1.0,,,1119.0,7.020190708311925,34,very easy to read,05-04-2019 12:16
5,1,0,True,Letter designer,1,lexical,6,arial,presence,word,Sure word,1.0,,,771.0,6.647688373563329,34,very easy to read,05-04-2019 12:16
6,1,0,True,Letter designer,1,lexical,7,arial,faces,word,Sure word,1.0,,,756.0,6.628041376179532,34,very easy to read,05-04-2019 12:16
7,1,0,True,Letter designer,1,lexical,8,arial,stars,word,Sure word,1.0,,,766.0,6.641182169740591,34,very easy to read,05-04-2019 12:16
8,1,0,True,Letter designer,1,lexical,9,arial,experaties,non-word,Sure non-word,1.0,,,2153.0,7.674617497364363,34,very easy to read,05-04-2019 12:16
9,1,0,True,Letter designer,1,lexical,10,arial,repardance,non-word,Sure non-word,1.0,,,1414.0,7.2541778464565185,34,very easy to read,05-04-2019 12:16
10,1,0,True,Letter designer,1,lexical,11,arial,gazark,non-word,Sure non-word,1.0,,,966.0,6.873163834212518,34,very easy to read,05-04-2019 12:16
11,1,0,True,Letter designer,1,lexical,12,arial,empreases,non-word,Sure non-word,1.0,,,1214.0,7.101675971619444,34,very easy to read,05-04-2019 12:16
12,1,0,True,Letter designer,1,lexical,13,arial,refengement,non-word,Probably word,0.0,,,3081.0,8.033009498596668,34,very easy to read,05-04-2019 12:16
13,1,0,True,Letter designer,1,lexical,14,arial,replied,word,Sure word,1.0,,,1281.0,7.155396301896733,34,very easy to read,05-04-2019 12:16
14,1,0,True,Letter designer,1,lexical,15,arial,lisertant,non-word,Sure non-word,1.0,,,1734.0,7.458186157340487,34,very easy to read,05-04-2019 12:16
15,1,0,True,Letter designer,1,lexical,16,arial,described,word,Sure word,1.0,,,1223.0,7.109062135687172,34,very easy to read,05-04-2019 12:16
16,1,0,True,Letter designer,1,lexical,17,arial,office,word,Sure word,1.0,,,1010.0,6.917705609835306,34,very easy to read,05-04-2019 12:16
17,1,0,True,Letter designer,1,lexical,18,arial,opposite,word,Sure word,1.0,,,939.0,6.844815479208263,34,very easy to read,05-04-2019 12:16
18,1,0,True,Letter designer,1,lexical,19,arial,descussed,non-word,Probably non-word,1.0,,,3205.0,8.072467369354769,34,very easy to read,05-04-2019 12:16
19,1,0,True,Letter designer,1,lexical,20,arial,support,word,Sure word,1.0,,,1095.0,6.9985096422506015,34,very easy to read,05-04-2019 12:16
20,1,0,True,Letter designer,1,recognition,1,arial,faces,word,Sure seen,1.0,seen,faces,1952.0,7.576609766973037,34,very easy to read,05-04-2019 12:16
21,1,0,True,Letter designer,1,recognition,2,arial,described,word,Sure seen,1.0,seen,described,1445.0,7.275864600546532,34,very easy to read,05-04-2019 12:16
22,1,0,True,Letter designer,1,recognition,3,arial,opposition,word,Sure not seen,1.0,not seen,opposite,2421.0,7.791935956938058,34,very easy to read,05-04-2019 12:16
