,StudyID,ParticipantID,Fluent,Training,TestID,Type,TrialID,Font,Sample,Category,Response,Correct,Seen,Foil,RT,RTnorm,JoM,JoL,Date
0,2,0,True,Non-designer,1,lexical,1,arial,experaties,non-word,Probably non-word,1.0,,,2267.0,7.726212650507529,70,easy to read,30-05-2019 14:46
1,2,0,True,Non-designer,1,lexical,2,arial,anyway,word,Sure word,1.0,,,1515.0,7.323170717943469,70,easy to read,30-05-2019 14:46
2,2,0,True,Non-designer,1,lexical,3,arial,glasses,word,Sure word,1.0,,,1038.0,6.945051063725834,70,easy to read,30-05-2019 14:46
3,2,0,True,Non-designer,1,lexical,4,arial,formal,word,Sure word,1.0,,,922.0,6.826545223556594,70,easy to read,30-05-2019 14:46
4,2,0,True,Non-designer,1,lexical,5,arial,suronder,non-word,Sure non-word,1.0,,,2248.0,7.717796211013582,70,easy to read,30-05-2019 14:46
5,2,0,True,Non-designer,1,lexical,6,arial,impeady,non-word,Probably non-word,1.0,,,1649.0,7.407924322559599,70,easy to read,30-05-2019 14:46
6,2,0,True,Non-designer,1,lexical,7,arial,natume,non-word,Probably non-word,1.0,,,2020.0,7.61085279039525,70,easy to read,30-05-2019 14:46
7,2,0,True,Non-designer,1,lexical,8,arial,succerdly,non-word,Sure non-word,1.0,,,1531.0,7.333676395657684,70,easy to read,30-05-2019 14:46
8,2,0,True,Non-designer,1,lexical,9,arial,romoting,non-word,Probably word,0.0,,,3768.0,8.234299635696253,70,easy to read,30-05-2019 14:46
9,2,0,True,Non-designer,1,lexical,10,arial,misher,non-word,Probably non-word,1.0,,,1846.0,7.520776415062797,70,easy to read,30-05-2019 14:46
10,2,0,True,Non-designer,1,lexical,11,arial,white,word,Sure word,1.0,,,1402.0,7.2456550675945355,70,easy to read,30-05-2019 14:46
11,2,0,True,Non-designer,1,lexical,12,arial,pearmas,non-word,Sure non-word,1.0,,,2748.0,7.91862865334224,70,easy to read,30-05-2019 14:46
12,2,0,True,Non-designer,1,lexical,13,arial,origived,non-word,Probably non-word,1.0,,,3022.0,8.013674142832684,70,easy to read,30-05-2019 14:46
13,2,0,True,Non-designer,1,lexical,14,arial,coupid,non-word,Probably non-word,1.0,,,2120.0,7.659171367666058,70,easy to read,30-05-2019 14:46
14,2,0,True,Non-designer,1,lexical,15,arial,drive,word,Sure word,1.0,,,1430.0,7.265429723253953,70,easy to read,30-05-2019 14:46
15,2,0,True,Non-designer,1,lexical,16,arial,modern,word,Sure word,1.0,,,976.0,6.883462586413092,70,easy to read,30-05-2019 14:46
16,2,0,True,Non-designer,1,lexical,17,arial,given,word,Sure word,1.0,,,1052.0,6.9584483932976555,70,easy to read,30-05-2019 14:46
17,2,0,True,Non-designer,1,lexical,18,arial,activities,word,Sure word,1.0,,,943.0,6.849066282633458,70,easy to read,30-05-2019 14:46
18,2,0,True,Non-designer,1,lexical,19,arial,looks,word,Sure word,1.0,,,951.0,6.85751406254539,70,easy to read,30-05-2019 14:46
19,2,0,True,Non-designer,1,lexical,20,arial,build,word,Sure word,1.0,,,860.0,6.756932389247553,70,easy to read,30-05-2019 14:46
20,2,0,True,Non-designer,1,recognition,1,sansforgetica,succerdly,non-word,Sure seen,1.0,seen,succerdly,4500.0,8.411832675758411,70,easy to read,30-05-2019 14:46
21,2,0,True,Non-designer,1,recognition,2,sansforgetica,penerer,non-word,Sure not seen,1.0,not seen,pearmas,3272.0,8.093156697722637,70,easy to read,30-05-2019 14:46
22,2,0,True,Non-designer,1,recognition,3,sansforgetica,glasses,word,Sure seen,1.0,seen,glasses,1507.0,7.317876198626496,70,easy to read,30-05-2019 14:46
23,2,0,True,Non-designer,1,recognition,4,sansforgetica,neacten,non-word,Probably not seen,1.0,not seen,natume,2291.0,7.736743682453495,70,easy to read,30-05-2019 14:46
24,2,0,True,Non-designer,1,recognition,5,sansforgetica,gives,word,Sure not seen,1.0,not seen,given,4148.0,8.330381569349418,70,easy to read,30-05-2019 14:46
25,2,0,True,Non-designer,1,recognition,6,sansforgetica,build,word,Sure seen,1.0,seen,build,1424.0,7.261225091971921,70,easy to read,30-05-2019 14:46
26,2,0,True,Non-designer,1,recognition,7,sansforgetica,looks,word,Sure seen,1.0,seen,looks,1243.0,7.1252830915107115,70,easy to read,30-05-2019 14:46
27,2,0,True,Non-designer,1,recognition,8,sansforgetica,orindary,non-word,Sure not seen,1.0,not seen,origived,2693.0,7.898411092811599,70,easy to read,30-05-2019 14:46
28,2,0,True,Non-designer,1,recognition,9,sansforgetica,experession,non-word,Probably not seen,1.0,not seen,experaties,1710.0,7.444248649496705,70,easy to read,30-05-2019 14:46
29,2,0,True,Non-designer,1,recognition,10,sansforgetica,driving,word,Probably not seen,1.0,not seen,drive,1742.0,7.462789157412448,70,easy to read,30-05-2019 14:46
30,2,0,True,Non-designer,1,recognition,11,sansforgetica,romoting,non-word,Probably seen,1.0,seen,romoting,2815.0,7.942717540573791,70,easy to read,30-05-2019 14:46
31,2,0,True,Non-designer,1,recognition,12,sansforgetica,anywhere,word,Sure not seen,1.0,not seen,anyway,2190.0,7.691656822810547,70,easy to read,30-05-2019 14:46
32,2,0,True,Non-designer,1,recognition,13,sansforgetica,suronder,non-word,Sure seen,1.0,seen,suronder,1786.0,7.487733761436444,70,easy to read,30-05-2019 14:46
33,2,0,True,Non-designer,1,recognition,14,sansforgetica,formal,word,Sure seen,1.0,seen,formal,1270.0,7.146772179452637,70,easy to read,30-05-2019 14:46
34,2,0,True,Non-designer,1,recognition,15,sansforgetica,coupid,non-word,Sure seen,1.0,seen,coupid,1306.0,7.174724309836376,70,easy to read,30-05-2019 14:46
35,2,0,True,Non-designer,1,recognition,16,sansforgetica,moment,word,Probably not seen,1.0,not seen,modern,1991.0,7.596392304064196,70,easy to read,30-05-2019 14:46
36,2,0,True,Non-designer,2,lexical,1,sansforgetica,calculgical,non-word,Probably non-word,1.0,,,4929.0,8.502891406705377,55,difficult to read,30-05-2019 14:46
37,2,0,True,Non-designer,2,lexical,2,sansforgetica,computer,word,Sure word,1.0,,,1345.0,7.20414929203594,55,difficult to read,30-05-2019 14:46
38,2,0,True,Non-designer,2,lexical,3,sansforgetica,government,word,Sure word,1.0,,,1602.0,7.379008127628304,55,difficult to read,30-05-2019 14:46
39,2,0,True,Non-designer,2,lexical,4,sansforgetica,character,word,Sure word,1.0,,,1872.0,7.534762657037537,55,difficult to read,30-05-2019 14:46
40,2,0,True,Non-designer,2,lexical,5,sansforgetica,pariods,non-word,Probably non-word,1.0,,,2548.0,7.843064016692054,55,difficult to read,30-05-2019 14:46
41,2,0,True,Non-designer,2,lexical,6,sansforgetica,foldness,non-word,Probably non-word,1.0,,,1832.0,7.513163545234075,55,difficult to read,30-05-2019 14:46
42,2,0,True,Non-designer,2,lexical,7,sansforgetica,discussed,word,Sure word,1.0,,,1980.0,7.590852123688581,55,difficult to read,30-05-2019 14:46
43,2,0,True,Non-designer,2,lexical,8,sansforgetica,prohialized,non-word,Probably non-word,1.0,,,4270.0,8.35936910622267,55,difficult to read,30-05-2019 14:46
44,2,0,True,Non-designer,2,lexical,9,sansforgetica,murder,word,Sure word,1.0,,,1518.0,7.325148957955575,55,difficult to read,30-05-2019 14:46
45,2,0,True,Non-designer,2,lexical,10,sansforgetica,thank,word,Sure word,1.0,,,1128.0,7.028201432058005,55,difficult to read,30-05-2019 14:46
46,2,0,True,Non-designer,2,lexical,11,sansforgetica,mesters,non-word,Probably word,0.0,,,4294.0,8.364973978438726,55,difficult to read,30-05-2019 14:46
47,2,0,True,Non-designer,2,lexical,12,sansforgetica,inderected,non-word,Probably non-word,1.0,,,3615.0,8.192847134592865,55,difficult to read,30-05-2019 14:46
48,2,0,True,Non-designer,2,lexical,13,sansforgetica,freedom,word,Sure word,1.0,,,1632.0,7.397561535524052,55,difficult to read,30-05-2019 14:46
49,2,0,True,Non-designer,2,lexical,14,sansforgetica,talked,word,Sure word,1.0,,,890.0,6.7912214627261855,55,difficult to read,30-05-2019 14:46
50,2,0,True,Non-designer,2,lexical,15,sansforgetica,straight,word,Sure word,1.0,,,1841.0,7.518064181233078,55,difficult to read,30-05-2019 14:46
51,2,0,True,Non-designer,2,lexical,16,sansforgetica,walked,word,Sure word,1.0,,,1571.0,7.359467638255621,55,difficult to read,30-05-2019 14:46
52,2,0,True,Non-designer,2,lexical,17,sansforgetica,vally,non-word,Probably non-word,1.0,,,2391.0,7.779466967458324,55,difficult to read,30-05-2019 14:46
53,2,0,True,Non-designer,2,lexical,18,sansforgetica,verving,non-word,Probably word,0.0,,,2020.0,7.61085279039525,55,difficult to read,30-05-2019 14:46
54,2,0,True,Non-designer,2,lexical,19,sansforgetica,litached,non-word,Sure non-word,1.0,,,3915.0,8.272570608424903,55,difficult to read,30-05-2019 14:46
55,2,0,True,Non-designer,2,lexical,20,sansforgetica,motter,non-word,Probably non-word,1.0,,,3784.0,8.238536930171769,55,difficult to read,30-05-2019 14:46
56,2,0,True,Non-designer,2,recognition,1,arial,calculgical,non-word,Probably seen,1.0,seen,calculgical,3544.0,8.173011311724972,55,difficult to read,30-05-2019 14:46
57,2,0,True,Non-designer,2,recognition,2,arial,victurs,non-word,Sure not seen,1.0,not seen,verving,3073.0,8.030409562130485,55,difficult to read,30-05-2019 14:46
58,2,0,True,Non-designer,2,recognition,3,arial,pariods,non-word,Sure seen,1.0,seen,pariods,1715.0,7.44716835960004,55,difficult to read,30-05-2019 14:46
59,2,0,True,Non-designer,2,recognition,4,arial,liternment,non-word,Probably seen,0.0,not seen,litached,1888.0,7.543273346705446,55,difficult to read,30-05-2019 14:46
60,2,0,True,Non-designer,2,recognition,5,arial,straight,word,Sure seen,1.0,seen,straight,1557.0,7.350516171833998,55,difficult to read,30-05-2019 14:46
61,2,0,True,Non-designer,2,recognition,6,arial,vally,non-word,Sure seen,1.0,seen,vally,1222.0,7.108244139731541,55,difficult to read,30-05-2019 14:46
62,2,0,True,Non-designer,2,recognition,7,arial,discussed,word,Sure seen,1.0,seen,discussed,929.0,6.834108738813838,55,difficult to read,30-05-2019 14:46
63,2,0,True,Non-designer,2,recognition,8,arial,freedom,word,Sure seen,1.0,seen,freedom,904.0,6.806829360392176,55,difficult to read,30-05-2019 14:46
64,2,0,True,Non-designer,2,recognition,9,arial,taste,word,Sure not seen,1.0,not seen,talked,1702.0,7.43955930913332,55,difficult to read,30-05-2019 14:46
65,2,0,True,Non-designer,2,recognition,10,arial,theatre,word,Sure not seen,1.0,not seen,thank,945.0,6.851184927493743,55,difficult to read,30-05-2019 14:46
66,2,0,True,Non-designer,2,recognition,11,arial,metween,non-word,Probably not seen,1.0,not seen,mesters,2229.0,7.709308333385869,55,difficult to read,30-05-2019 14:46
67,2,0,True,Non-designer,2,recognition,12,arial,promatic,non-word,Probably seen,0.0,not seen,prohialized,2816.0,7.943072717277933,55,difficult to read,30-05-2019 14:46
68,2,0,True,Non-designer,2,recognition,13,arial,gradually,word,Probably not seen,1.0,not seen,government,2560.0,7.847762537473608,55,difficult to read,30-05-2019 14:46
69,2,0,True,Non-designer,2,recognition,14,arial,murder,word,Sure seen,1.0,seen,murder,1200.0,7.090076835776092,55,difficult to read,30-05-2019 14:46
70,2,0,True,Non-designer,2,recognition,15,arial,foldness,non-word,Sure seen,1.0,seen,foldness,1284.0,7.157735484249907,55,difficult to read,30-05-2019 14:46
71,2,0,True,Non-designer,2,recognition,16,arial,concern,word,Probably seen,0.0,not seen,computer,1718.0,7.4489161025442,55,difficult to read,30-05-2019 14:46
72,2,1,True,Letter designer,1,lexical,1,arial,considere,non-word,Probably non-word,1.0,,,10870.0,9.293761980115255,80,very easy to read,30-05-2019 13:02
73,2,1,True,Letter designer,1,lexical,2,arial,today,word,Sure word,1.0,,,1975.0,7.5883236773352225,80,very easy to read,30-05-2019 13:02
74,2,1,True,Letter designer,1,lexical,3,arial,minglem,non-word,Probably word,0.0,,,4672.0,8.449342524508063,80,very easy to read,30-05-2019 13:02
75,2,1,True,Letter designer,1,lexical,4,arial,blace,non-word,Probably word,0.0,,,2533.0,7.837159650001675,80,very easy to read,30-05-2019 13:02
76,2,1,True,Letter designer,1,lexical,5,arial,anyone,word,Sure word,1.0,,,1931.0,7.565793282428515,80,very easy to read,30-05-2019 13:02
77,2,1,True,Letter designer,1,lexical,6,arial,wesisty,non-word,Probably word,0.0,,,3044.0,8.020927718981577,80,very easy to read,30-05-2019 13:02
78,2,1,True,Letter designer,1,lexical,7,arial,exisonent,non-word,Sure non-word,1.0,,,2429.0,7.795234929002173,80,very easy to read,30-05-2019 13:02
79,2,1,True,Letter designer,1,lexical,8,arial,hoped,word,Sure word,1.0,,,2819.0,7.9441374911141125,80,very easy to read,30-05-2019 13:02
80,2,1,True,Letter designer,1,lexical,9,arial,papers,word,Sure word,1.0,,,1421.0,7.259116128097101,80,very easy to read,30-05-2019 13:02
81,2,1,True,Letter designer,1,lexical,10,arial,morking,non-word,Probably non-word,1.0,,,2604.0,7.86480400332846,80,very easy to read,30-05-2019 13:02
82,2,1,True,Letter designer,1,lexical,11,arial,british,word,Sure word,1.0,,,1735.0,7.45876269238096,80,very easy to read,30-05-2019 13:02
83,2,1,True,Letter designer,1,lexical,12,arial,order,word,Sure word,1.0,,,1602.0,7.379008127628304,80,very easy to read,30-05-2019 13:02
84,2,1,True,Letter designer,1,lexical,13,arial,achieved,word,Sure word,1.0,,,1534.0,7.335633981927201,80,very easy to read,30-05-2019 13:02
85,2,1,True,Letter designer,1,lexical,14,arial,heaticipary,non-word,Probably word,0.0,,,4357.0,8.379539026117442,80,very easy to read,30-05-2019 13:02
