order,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
metric,,,RT,RT,RT_word,RT_word,RT_nonword,RT_nonword,AUC,AUC,AUC_word,AUC_word,AUC_nonword,AUC_nonword,RT,RT,RT_word,RT_word,RT_nonword,RT_nonword,AUC,AUC,AUC_word,AUC_word,AUC_nonword,AUC_nonword
stat,,,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM
sid,type,font,,,,,,,,,,,,,,,,,,,,,,,,
1,lexical,arial,3103.729896907217,464.3537119169828,,,,,0.972422680412371,0.004784955371396893,,,,,,,,,,,,,,,,
1,lexical,sansforgetica,3154.4845360824743,198.6132330026243,,,,,0.9774226804123711,0.004573822568604715,,,,,,,,,,,,,,,,
1,recognition,arial,,,,,,,,,,,,,2659.6166237113403,109.12150168045521,,,2786.730670103093,149.2986153840268,0.8990012886597938,0.010575849573557932,0.8885309278350515,0.01297705712897094,0.9097938144329897,0.012911993742170001
1,recognition,sansforgetica,,,,,,,,,,,,,2732.5637886597938,84.88738408100258,,,2933.784793814433,109.803985688633,0.9020618556701031,0.010534750711236265,0.8846649484536082,0.014535703801716936,0.9233247422680413,0.010972542761550517
2,lexical,arial,2873.6241935483877,229.90698369089165,,,,,0.9438709677419356,0.013992906034366264,,,,,2480.3975,119.51078271699392,,,,,0.9645833333333333,0.007865654859282117,,,,
2,lexical,sansforgetica,3214.453333333333,146.89995271806163,,,,,0.9610000000000002,0.008212227345008278,,,,,3078.2685483870973,219.22451724772597,,,,,0.9446774193548387,0.015073796508899909,,,,
2,recognition,arial,2573.310483870968,109.72979554489305,,,2747.826612903226,146.3784379817803,0.8508064516129032,0.01561746835331783,0.8442540322580645,0.019289404452666085,0.8629032258064516,0.018826890952541225,2593.61875,86.87392283428662,,,2784.33125,114.06769221697512,0.8842447916666667,0.016485708163395008,0.8786458333333333,0.01942766197582681,0.884375,0.019187745563308364
2,recognition,sansforgetica,21521.913541666665,18959.34489894137,,,40659.5,37923.565210736015,0.8291666666666667,0.01592281793444236,0.8296875,0.01950324616704255,0.8328125,0.019466435535677538,2943.5383064516127,111.50426700323113,,,3239.8649193548385,168.02636092150135,0.8862147177419355,0.01598909494786371,0.8966733870967742,0.019317452054653766,0.8775201612903226,0.018784924549984098
