Study ID,Participant ID,Test ID,Test type,Native,Designer,Font,Correct,Response time,Response time (word),Response time (non-word),AUC,AUC (word),AUC (non-word),JoL,JoM,Date
0.0,0.0,1,lexical,True,Non-designer,sansforgetica,0.5,667.25,,,0.5,,,very easy to read,56,25-03-2019 19:37
0.0,0.0,1,recognition,True,Non-designer,sansforgetica,0.5,735.9375,905.5,566.375,0.5,0.5,0.5,very easy to read,56,25-03-2019 19:37
0.0,0.0,2,lexical,True,Non-designer,inputsans,0.5,679.2,,,0.5,,,easy to read,54,25-03-2019 19:37
0.0,0.0,2,recognition,True,Non-designer,inputsans,0.5,633.375,518.5,748.25,0.5,0.5,0.5,easy to read,54,25-03-2019 19:37
0.0,1.0,1,lexical,True,Non-designer,sansforgetica,0.8,2632.55,,,1.0,,,easy to read,40,19-03-2019 16:35
0.0,1.0,1,recognition,True,Non-designer,sansforgetica,0.8125,1967.4375,1580.375,2354.5,0.9375,0.875,1.0,easy to read,40,19-03-2019 16:35
0.0,1.0,2,lexical,True,Non-designer,inputsans,0.85,2022.65,,,0.9,,,very easy to read,42,19-03-2019 16:35
0.0,1.0,2,recognition,True,Non-designer,inputsans,0.875,2231.0625,2165.625,2296.5,0.9140625,1.0,0.84375,very easy to read,42,19-03-2019 16:35
0.0,2.0,1,lexical,True,Other designer,sansforgetica,1.0,2227.5,,,1.0,,,ok,63,19-03-2019 16:25
0.0,2.0,1,recognition,True,Other designer,sansforgetica,0.75,2881.0625,2738.5,3023.625,0.90625,0.8125,1.0,ok,63,19-03-2019 16:25
0.0,2.0,2,lexical,True,Other designer,inputsans,0.85,1861.65,,,1.0,,,difficult to read,60,19-03-2019 16:25
0.0,2.0,2,recognition,True,Other designer,inputsans,0.8125,3424.125,3721.125,3127.125,0.875,0.9375,0.78125,difficult to read,60,19-03-2019 16:25
0.0,3.0,1,lexical,True,Non-designer,inputsans,1.0,1334.05,,,1.0,,,easy to read,40,10-03-2019 12:06
0.0,3.0,1,recognition,True,Non-designer,inputsans,0.5625,1940.875,1743.375,2138.375,0.703125,0.875,0.5,easy to read,40,10-03-2019 12:06
0.0,3.0,2,lexical,True,Non-designer,sansforgetica,1.0,1914.5,,,1.0,,,difficult to read,26,10-03-2019 12:06
0.0,3.0,2,recognition,True,Non-designer,sansforgetica,0.8125,2263.5,2548.875,1978.125,0.90625,0.71875,1.0,difficult to read,26,10-03-2019 12:06
