string,length
above,5
accepted,8
according,9
account,7
across,6
action,6
activities,10
actually,8
added,5
adult,5
afraid,6
after,5
afternoon,9
again,5
against,7
agreed,6
ahead,5
allowed,7
almost,6
alone,5
along,5
already,7
although,8
always,6
among,5
amount,6
ancient,7
animal,6
another,7
answer,6
anyone,6
anything,8
anyway,6
apart,5
apparently,10
appear,6
approach,8
areas,5
argument,8
around,6
arrived,7
asked,5
attack,6
attempt,7
attention,9
attitude,8
authority,9
available,9
average,7
aware,5
basic,5
beautiful,9
became,6
because,7
before,6
began,5
beginning,9
behaviour,9
behind,6
being,5
believe,7
below,5
benefit,7
beside,6
better,6
between,7
beyond,6
black,5
blood,5
board,5
books,5
bottle,6
bottom,6
bought,6
break,5
bring,5
britain,7
broken,6
brother,7
brought,7
brown,5
building,8
built,5
business,8
called,6
campaign,8
cannot,6
capital,7
carefully,9
carried,7
cases,5
caught,6
cause,5
central,7
century,7
certainly,9
chair,5
chance,6
change,6
chapter,7
character,9
chief,5
children,8
choice,6
church,6
class,5
clean,5
clearly,7
closed,6
clothes,7
coffee,6
colonel,7
colour,6
coming,6
committee,9
common,6
community,9
company,7
completely,10
concerned,9
conditions,10
consider,8
continue,8
control,7
corner,6
costs,5
could,5
council,7
count,5
country,7
couple,6
course,6
court,5
cover,5
current,7
daily,5
dangerous,9
daughter,8
death,5
decision,8
defence,7
degree,6
demand,6
department,10
described,9
design,6
despite,7
developed,9
development,11
different,9
difficult,9
dinner,6
direction,9
discovered,10
distance,8
doctor,6
doing,5
doubt,5
dress,5
drink,5
drive,5
during,6
earlier,7
earth,5
easily,6
economic,8
education,9
effect,6
effort,6
eight,5
either,6
empty,5
energy,6
english,7
enough,6
entire,6
especially,10
european,8
evening,7
eventually,10
every,5
everyone,8
everything,10
evidence,8
exactly,7
example,7
except,6
exercise,8
expect,6
experience,10
explain,7
expression,10
extra,5
failed,6
family,6
father,6
feeling,7
field,5
fight,5
figure,6
filled,6
finally,7
finished,8
first,5
floor,5
following,9
force,5
foreign,7
former,6
forward,7
found,5
freedom,7
friend,6
front,5
further,7
future,6
garden,6
generally,9
getting,7
girls,5
given,5
glass,5
going,5
government,10
grass,5
great,5
green,5
ground,6
group,5
growth,6
hands,5
happen,6
happy,5
hardly,6
having,6
health,6
heard,5
heart,5
